"","part_id","hh_id","part_age","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","country","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","sday_id","type","day","month","year","dayofweek","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","hh_type","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age_group"
"464",5343,"Mo08HH5343",37,"F",1,4,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,9,12,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75976,65,NA,NA,"F",1,0,0,0,0,0,1,1,3,"Two or more person household",12,12,0,0,0,0,0,11,1,"25-44"
"465",5344,"Mo08HH5344",26,"F",1,2,4,13,NA,"UK","",NA,NA,"","",NA,3,1,3,"United Kingdom",5,26,29,31,55,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75988,NA,17,19,"M",0,1,0,0,0,0,5,2,1,"Two or more person household",29,4,24,0,1,0,0,4,25,"25-44"
"466",5345,"Mo08HH5345",58,"F",1,3,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,76017,NA,30,35,"F",0,1,0,0,0,0,5,1,2,"Two or more person household",8,1,5,0,0,0,2,2,6,"45-64"
"467",5346,"Mo08HH5346",26,"M",1,1,5,16,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,76025,54,NA,NA,"F",0,0,0,0,0,1,1,2,2,"Single person household",5,1,2,0,0,1,2,3,2,"25-44"
"468",5347,"Mo08HH5347",35,"M",1,3,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,11,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76030,42,NA,NA,"F",0,0,0,0,1,0,2,2,1,"Two or more person household",5,4,0,0,0,1,0,2,3,"25-44"
"469",5348,"Mo08HH5348",47,"F",1,4,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,20,24,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76035,52,NA,NA,"M",1,0,0,0,0,0,2,1,4,"Two or more person household",9,6,0,0,0,0,3,7,2,"45-64"
"470",5349,"Mo08HH5349",73,"M",1,4,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,66,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76044,21,NA,NA,"F",0,0,0,0,1,0,2,2,1,"Two or more person household",21,4,0,0,0,15,1,7,14,"65 and over"
"471",5350,"Mo08HH5350",39,"F",1,4,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",5,15,17,19,39,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76065,61,NA,NA,"F",1,0,0,0,0,0,1,1,4,"Two or more person household",14,11,0,0,0,3,0,10,4,"25-44"
"472",5351,"Mo08HH5351",59,"M",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,33,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76079,33,NA,NA,"F",1,0,0,0,0,0,2,2,3,"Two or more person household",13,10,0,0,0,3,0,7,6,"45-64"
"473",5352,"Mo08HH5352",47,"M",5,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,15,19,39,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,76092,39,NA,NA,"F",1,0,0,0,0,0,1,2,5,"Two or more person household",7,7,0,0,0,0,0,NA,NA,"45-64"
